Price,Close,High,Low,Open,Volume
Ticker,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW
Date,,,,,
2024-01-02,898.153076171875,929.2817250911856,897.2375276742482,924.7039826030517,10009034
2024-01-03,872.5177001953125,894.4908636839667,872.5177001953125,893.5753152052729,12547023
2024-01-04,872.1417236328125,889.9980735778809,866.5028762817383,883.4194183349609,8449251
2024-01-05,865.5631103515625,878.7204214752562,865.5631103515625,873.0815738508161,5524580
2024-01-08,864.623291015625,879.6602178158968,862.7436751655911,874.0213702657949,5553064
2024-01-09,872.1417236328125,883.4194183349609,870.2621078491211,881.5398025512695,5782533
2024-01-10,868.382568359375,878.720456077939,866.5029524105452,878.720456077939,4252336
2024-01-11,864.623291015625,880.6000257409138,864.623291015625,875.9009861158288,6787619
2024-01-12,870.2621459960938,873.0815697952172,860.8640666656823,864.623298397847,4733940
2024-01-15,866.5028686523438,878.7203711387651,863.6834450016312,878.7203711387651,4242507
2024-01-16,841.1280517578125,861.8038250971107,841.1280517578125,859.9242093389927,10182511
2024-01-17,826.0911865234375,848.6465772817567,826.0911865234375,836.4290739543338,11463245
2024-01-18,843.0077514648438,843.0077514648438,830.7902478204257,830.7902478204257,6754372
2024-01-19,864.623291015625,864.623291015625,852.4057879904043,864.623291015625,9037844
2024-01-22,866.5028686523438,886.238834207332,864.623252885202,872.141715953769,9381596
2024-01-23,856.1649780273438,866.5028646994631,854.2853622687766,862.7436331823288,6015511
2024-01-24,879.6602172851562,879.6602172851562,859.9242508717073,860.8640587961572,7798880
2024-01-25,886.2388916015625,892.8175472126028,876.8408121572194,882.4796598238253,8962616
2024-01-26,879.6602172851562,882.4796410585062,872.1417538895566,879.6602172851562,5273128
2024-01-29,881.539794921875,888.1184501078592,870.2621003173308,888.1184501078592,7026602
2024-01-30,905.0350341796875,914.4331134546583,881.5398359922605,881.5398359922605,9478077
2024-01-31,907.8544921875,918.1923797796971,900.3360284840838,917.2525718167702,9080284
2024-02-01,874.0213623046875,893.7573285502772,866.5028989730342,893.7573285502772,16712977
2024-02-02,879.6602172851562,879.6602172851562,870.2621380406567,874.9611776629065,7360212
2024-02-05,880.6000366210938,883.4194604309798,872.1417651914354,873.0815731280642,5742677
2024-02-15,913.4932861328125,923.831173115797,893.7573200743875,923.831173115797,11678406
2024-02-16,911.6136474609375,918.1923026488,905.0349922730751,917.2524947648196,4417821
2024-02-19,905.0350341796875,914.4331134546583,893.7573390497225,914.4331134546583,4193442
2024-02-20,922.891357421875,925.7107811207198,902.2155836303463,902.2155836303463,7570527
2024-02-21,921.9515991210938,926.6506388719658,913.4933275695241,913.4933275695241,5334177
2024-02-22,953.905029296875,958.6040688500616,928.5302157096675,928.5302157096675,10182733
2024-02-23,1033.7886962890625,1033.7886962890625,949.2059847745028,972.701182417436,23431414
2024-02-26,1047.8858642578125,1052.5849040078474,996.1964270074271,1024.3906655076373,12036894
2024-02-27,1047.8858642578125,1090.1772220081277,1038.4877847577425,1057.2839437578825,17137848
2024-02-29,1071.3809814453125,1076.0800208376165,1043.1867450914883,1047.8857844837923,9126357
2024-03-01,1038.48779296875,1094.876270415017,1029.0897133943722,1094.876270415017,12066326
2024-03-04,1080.7791748046875,1085.4782146951427,1038.487815790591,1047.8858955715014,12304302
2024-03-05,1085.4781494140625,1090.1771890219156,1061.982951374797,1080.7791098062094,8416339
2024-03-06,1118.3714599609375,1127.7695394564075,1071.3810624835871,1076.0801022313221,9634661
2024-03-07,1155.9637451171875,1184.1579828029726,1141.866626274295,1146.5656658885923,15008514
2024-03-08,1155.9637451171875,1198.2551016458651,1123.0704678171048,1184.1579828029726,16121484
2024-03-11,1151.2647705078125,1170.0609300263072,1132.4686109893175,1160.6628502670599,5703039
2024-03-12,1141.86669921875,1151.264779047711,1118.3714996463477,1127.7695794753088,5088394
2024-03-13,1141.86669921875,1184.1580584490741,1137.1676593042696,1170.0609387056327,6917876
2024-03-14,1080.7791748046875,1155.96381305197,1071.381095023777,1146.5657332710598,12529434
2024-03-15,1066.6820068359375,1080.7791258690115,1052.5848878028635,1066.6820068359375,8516381
2024-03-18,1099.5753173828125,1108.973397018563,1066.6820386576858,1066.6820386576858,5901035
2024-03-19,1080.7791748046875,1094.8762944760529,1066.682055133322,1080.7791748046875,8740357
2024-03-20,1061.98291015625,1104.2742649854813,1052.5848313053098,1076.0800284326604,6032629
2024-03-21,1071.3809814453125,1090.1771390145284,1057.2838632684004,1090.1771390145284,6391070
2024-03-22,1057.283935546875,1076.0800944010416,1043.18681640625,1071.3810546875,5827756
2024-03-25,1052.5848388671875,1071.3809967041016,1047.885799407959,1052.5848388671875,3241531
2024-03-26,1061.98291015625,1099.5752255600112,1052.5848313053098,1071.3809890071902,6534083
2024-03-27,1094.876220703125,1104.2742998507913,1057.2839041124598,1066.6819832601261,5980133
2024-03-28,1090.1771240234375,1108.9732813341864,1066.6819273850012,1090.1771240234375,6926740
2024-03-29,1113.67236328125,1113.67236328125,1090.177165743671,1090.177165743671,4051000
2024-04-01,1090.1771240234375,1127.7694386449352,1085.4780846957503,1118.371359989561,5359025
2024-04-02,1094.876220703125,1113.6723789984576,1090.177181129292,1099.5752602769583,4164058
2024-04-03,1090.1771240234375,1104.2742420064992,1071.3809667126886,1080.779045368063,4100953
2024-04-08,1080.7791748046875,1108.9734141474185,1076.0801349142323,1104.2743742569633,4066781
2024-04-09,1090.1771240234375,1104.2742420064992,1080.779045368063,1090.1771240234375,3322521
2024-04-10,1123.0704345703125,1141.8665924710708,1094.876197719175,1099.5752371943645,6393274
2024-04-11,1127.7694091796875,1155.9636444091798,1113.6722915649414,1132.4684483846029,6271331
2024-04-12,1108.9732666015625,1127.769423662606,1094.8761488057798,1118.3713451320843,5214036
2024-04-15,1043.186767578125,1090.1771625140766,1043.186767578125,1090.1771625140766,9187015
2024-04-16,991.497314453125,1024.3905902880629,991.497314453125,1000.8953932631073,12016661
2024-04-17,986.79833984375,1010.2935384114584,982.0993001302083,1000.895458984375,7727084
2024-04-18,986.79833984375,996.1964192708333,958.6041015625,982.0993001302083,7168984
2024-04-19,933.229248046875,968.0021404715823,911.6136662693542,958.6040614378776,15661098
2024-04-22,907.8544921875,929.4700753348214,907.8544921875,924.7710355201863,9091869
2024-04-23,913.4932861328125,929.4700205610612,911.6136703177244,929.4700205610612,5846136
2024-04-24,949.2059936523438,958.6040727974165,934.1690670202274,935.1088749347347,6229216
2024-04-25,921.9515991210938,944.5069899252796,917.2525593702218,936.0487183737099,6053259
2024-04-26,944.5069580078125,944.5069580078125,927.5904154763293,931.3496471499923,5747819
2024-04-29,953.905029296875,991.4973457223676,944.5069501905018,991.4973457223676,7963720
2024-04-30,932.2894897460938,968.0021919742708,932.2894897460938,953.9050726736746,5868406
2024-05-02,939.8079223632812,958.6040808105469,922.8913797607422,930.4098431396484,5401225
2024-05-03,977.4002075195312,986.7982864379883,968.0021286010742,977.4002075195312,6598170
